Ticker,Name,ISIN
,BLUELINEA,FR0011041011
,BLUENORD ASA,NO0010379266
,BOA CONCEPT,FR0011365907
,BODY ONE,FR0010106039
,BOIRON,FR0000061129
,BOLOGNAFIERE,IT0003516066
,BONDUELLE,FR0000063935
,BONHEUR,NO0003110603
,BONYF,BE6333353298
,BORGESTAD,NO0013256180
,BORGOSESIA,IT0003217335
,BORREGAARD,NO0010657505
,BOURRELIER GROUP,FR0000054421
,BOURSE DIRECT,FR0000074254
,BOUVET,NO0010360266
,BPOST,BE0974268972
,BQUE NAT. BELGIQUE,BE0003008019
,BRAGA MORO,IT0005640286
,BRIOSCHI,IT0000066180
,BROADPEAK,FR001400AJZ7
,BRUNEL INTERNAT,NL0010776944
,BURELLE,FR0000061137
,BYGGMA,NO0003087603
,CA TOULOUSE 31 CCI,FR0000045544
,CABASSE S.A.,FR001400DIY6
,CABKA,NL00150000S7
,CADELER A/S,DK0061412772
,CAFOM,FR0010151589
,CAIRN HOMES PLC,IE00BWY4ZF18
,CAIRO COMMUNICATION,IT0004329733
,CALEFFI,IT0003025019
,CALIBRE,FR0014004QR6
,CALTAGIRONE,IT0003127930
,CALTAGIRONE EDIT,IT0001472171
,CAMBI ASA,NO0010078850
,CAMPINE,BE0003825420
,CANDELA INVEST,BE0974298300
,CAPITAL B,FR0011053636
,CAPSOL TECHNOLOGIES ASA,NO0010923121
,CARBIOS,FR0011648716
,CARMAT,FR0010907956
,CARVOLIX,FR0013333077
,CASINO GUICHARD,FR001400OKR3
,CASTA DIVA GROUP,IT0005003782
,CATANA GROUP,FR0010193052
,CATERING INTERNATIONAL & SERVICES S.A.,FR0000064446
,CAVENDISH HYDROGEN ASA,NO0013219535
,CBO TERRITORIA,FR0010193979
,CEGEDIM,FR0000053506
,CELLECTIS,FR0010425595
,CELLULARLINE,IT0005244618
,CELYAD ONCOLOGY,BE0974260896
,CEMBRE,IT0001128047
,CEMENTIR HOLDING,NL0013995087
,CENERGY,BE0974303357
,CENTRALE DEL LATTE D'ITALIA,IT0003023980
,CERINNOV GROUP,FR0013178712
,CFE,BE0003883031
,CH.FER DEPARTEMENTAUX,FR0000037871
,CHARWOOD ENERGY S.A.,FR001400AJ60
,CHAUSSERIA,FR0000060907
,Cheops Technology,FR0010447086
,CHOICE NV,BE0974370026
,CIBOX INTER A CTIV,FR0000054322
,CIE BOIS SAUVAGE,BE0003592038
,CIE DU MONT BLANC,FR0000060428
,CIR,IT0000070786
,CIRCIO HOLDING ASA,NO0013033795
,CIRCLE,IT0005344996
,CLABO,IT0005091324
,CLARANOVA,FR0013426004
,CLARIANE SE,FR0010386334
,CLASS EDITORI,IT0005117848
,CLEANBNB,IT0005377277
,CLOUDBERRY CLEAN ENERGY ASA,NO0010876642
,CLOUDIA RESEARCH,IT0005577090
,CM.COM,NL0012747059
,CMG CLEANTECH,FR0013406881
,CO.BR.HA (D),BE0003519270
,CODELAB CAPITAL AS,NO0013483503
,COFACE,FR0010667147
,COFIDUR S.A.,FR0013257409
,COFLE,IT0005465619
,COGEFEED,IT0005618043
,COGRA,FR0011071570
,COHERIS,FR0004031763
,COIL,BE0160342011
,COLIPAYS,FR0010959684
,COM.TEL,IT0005632945
,COMER INDUSTRIES,IT0005246191
,COMPAGNIA DEI CARAIBI,IT0005453235
,COMPAGNIE CHARGEURS INVEST,FR0000130692
,CONDOR TECHNOLOGIES,BE6252013725
,Conduril-Engenharia,PTCDU0AE0003
,CONFINVEST,IT0005379604
,CONSORT NT,FR0000077828
,CONSTRUCTEURS BOIS,FR00140007I9
,CONTEXTVISION,SE0014731154
,CONVERGENZE,IT0005426215
,COPERNICO,IT0005379406
,CORBION,NL0010583399
,COREP LIGHTING,FR0010035816
,CORETECH 5,FR0013371507
,Corticeira Amorim-SGPS,PTCOR0AE0006
,COURBET,FR0004998318
,COURTOIS,FR0000065393
,CRCAM ALP.PROV.CCI,FR0000044323
,CRCAM ATL.VEND.CCI,FR0000185506
,CRCAM BRIE PIC2CCI,FR0010483768
,CRCAM ILLE-VIL.CCI,FR0000045213
,CRCAM LANGUED CCI,FR0010461053
,CRCAM LOIRE HAUTE LOIRE CCI,FR0000045239
,CRCAM MORBIHAN CCI,FR0000045551
,CRCAM NORD CCI,FR0000185514
,CRCAM NORM.SEINE,FR0000044364
,CRCAM PARIS ET IDF,FR0000045528
,CRCAM SUD R.A.CCI,FR0000045346
,CRCAM TOURAINE CCI,FR0000045304
,CREACTIVES GROUP,IT0005408593
,CROSSJECT,FR0011716265
,CROSSWOOD,FR0000050395
,CROWDFUNDME,IT0005353575
,CRYPTO BLOCKCHAIN INDUSTRIES,FR0014007LW0
,CSP INT IND CALZE,IT0001127874
,CTAC,NL0000345577
,"CTT-CORREIOS DE PORTUGAL, SA",PTCTT0AM0001
,CUBE LABS,IT0005532483
,CULTI MILANO,IT0005257347
,CUMULEX,BE0003463685
,CY4GATE,IT0005412504
,CYBEROO,IT0005546103
,CYVIZ AS,NO0010015175
,D.L.S.I.,FR0010404368
,DAMARIS,FR0000077885
,DAMARTEX,FR0000185423
,D'AMICO,LU2592315662
,DANIELI & C,IT0000076502
,DATALOGIC,IT0004053440
,DATRIX,IT0005468357
,DBA GROUP,IT0005285942
,DBT,FR001400LO86
,DBV TECHNOLOGIES,FR0010417345
,DECEUNINCK,BE0003789063
,DEDEM,IT0005659724
,DEEP VALUE DRILLER AS,NO0010955917
,DEEZER,FR001400AYG6
,DEKUPLE,FR0000062978
,DELFINGEN INDUSTRY,FR0000054132
,DELLIA GROUP,NO0012697095
,DELTA PLUS GROUP,FR0013283108
,DEODATO.GALLERY,IT0005528937
,DERICHEBOURG,FR0000053381
,DESERT CONTROL AS,NO0010963275
,DESTINATION ITALIA,IT0005454027
,DEVERNOIS,FR0000060840
,DEXELANCE,IT0005543480
,DHH,IT0005203622
,DIADEMA CAPITAL,IT0005605636
,DIAGNOSTIC MEDICAL SYSTEMS,FR0012202497
,DIGITAL BROS,IT0001469995
,DIGITAL VALUE,IT0005347429
,DIGITOUCH,IT0005089476
,DIRECTA SIM,IT0001463063
,DISTRIBUZIONE ELETTRICA ADRIATICA,IT0005600249
,DNO,NO0003921009
,DNXCORP,FR0010436584
,DOCK.PETR.AMBES AM,FR0000065260
,DOF GROUP ASA,NO0012851874
,DOLFINES,FR001400SP13
,DOLPHIN DRILLING AS,NO0013711739
,DONEGAL INVESTMENT GROUP PLC,IE000Y2HN3O9
,DONTNOD Entertainment,FR0013331212
,DOTSTAY,IT0005523839
,DOVALUE,IT0005610958
,DOXEE,IT0005394413
,DRONE VOLT,FR001400SVN0
,DYNAFOND,FR0000052920
,E.P.H.,IT0005623845
,E.T.S. Engineering and Technical Services,IT0005669558
,EAGLE FOOTBALL GROUP,FR0010428771
,EAM SOLAR AS,NO0013601245
,EASE2PAY NV,NL0000345627
,EAUX DE ROYAN,FR0007200100
,EAVS,FR0010536185
,EBUSCO HOLDING N.V.,NL0015002AG2
,ECOMEMBRANE,IT0005543332
,ECOMIAM SA,FR0013534617
,ECONOCOM GROUP,BE0974313455
,ECOSLOPS,FR0011490648
,ECOSUNTEK,IT0005654766
,EDGELAB,IT0005627762
,EDIL SAN FELICE,IT0005561441
,EDILIZIACROBATICA,IT0005351504
,EDITIONS DU SIGNE,FR0000052755
,EDUFORM'ACTION,FR0010882886
,EGIDE,FR0000072373
,E-GLOBE,IT0005557514
,EGOMNIA,IT0005586497
,EIDESVIK OFFSHORE,NO0010263023
,EKINOPS,FR0011466069
,EKOPAK NV,BE0974380124
,EL.EN.,IT0005453250
,ELEC.STRASBOURG,FR0000031023
,ELECTRICITE ET EAUX DE MADAGASCAR,FR0000035719
,ELECTROMAGNETIC GEOSERVICES,NO0010358484
,ELEKTROIMPORTØREN AS,NO0010911902
,ELES,IT0005373417
,ELICA,IT0003404214
,ELIOR GROUP,FR0011950732
,ELKEM,NO0010816093
,ELLIPTIC LABORATORIES ASA,NO0010722283
,ELMERA GROUP ASA,NO0010815673
,ELOPAK ASA,NO0011002586
,ELSA SOLUTIONS,IT0005561466
,EMAK,IT0001237053
,EMBENTION SISTEMAS INTELIGENTES SA,ES0105639001
,EMEIS,FR001400NLM4
,EMMA VILLAS,IT0005562183
,EMOVA GROUP,FR0013356755
,ENA (ex-S.I.F. ITALIA),IT0005468290
,ENAV,IT0005176406
,ENCRES DUBUIT,FR0004030708
,ENDÚR,NO0012555459
,ENENSYS,FR0013330792
,ENERGEIA AS,NO0013698431
,ENERGISME,FR0013399359
,ENERGY,IT0005500712
,ENERGY SOLAR TECH,ES0105687000
,ENERGY TIME,IT0005660219
,ENERGYVISION ,BE0974499312
,ENERTRONICA SANTERNO,IT0004887409
,ENERVIT,IT0004356751
,ENOGIA,FR0014004974
,E-NOVIA,IT0005391229
,ENSURGE MICROPOWER ASA,NO0013186460
,ENTECH,FR0014004362
,ENTRA,NO0010716418
,ENVIPCO,NL0015000GX8
,EO2,FR0010465534
,E-PANGO,FR0014004339
,EPRCOMUNICAZIONE,IT0005519837
,EQUASENS,FR0012882389
,EQUITA GROUP,IT0005312027
,EQVA ASA,NO0010708605
,ER CAPITAL N.V.,NL0010389508
,ERAMET,FR0000131757
,ERREDUE,IT0005521247
,ESAUTOMOTION,IT0005337107
,ESI,IT0005421885
,ESPE,IT0005573818
,ESPRINET,IT0003850929
,Estoril-Sol SGPS-Nominativas,PTESO0AM0000
,ESTRIMA,IT0005468191
,ETHERO,FR0010424697
,EUKEDOS,IT0004818297
,EURASIA GROUPE,FR0010844001
,EUROAPI SA,FR0014008VX5
,EUROBIO-SCIENTIFIC,FR0013240934
,EUROFINS CEREP,FR0013256518
,EUROGROUP LAMINATIONS,IT0005527616
,EUROLAND CORPORATE,FR0010157115
,EUROPACORP,FR0010490920
,European Medical Solutions,BE0974497290
,EUROPLASMA,FR0014011QJ8
,EUROPRIS,NO0010735343
,EUROTECH,IT0003895668
,EUTELSAT COMMUNIC.,FR0010221234
,EVISO,IT0005430936
,EVS BROADC.EQUIPM.,BE0003820371
,EXACOMPTA CLAIREFONTAINE,FR0000064164
,EXACT THERAPEUTICS,NO0010852213
,EXAIL TECHNOLOGIES,FR0000062671
,EXECUS,IT0005557530
,EXEL INDUSTRIES,FR0004527638
,EXMAR ord.,BE0003808251
,EXOSENS,FR001400Q9V2
,EXPERT.AI,IT0004496029
,EXPLOSIFS PROD.CHI,FR0014003AQ4
,FACEPHI,ES0105029005
,FAE TECHNOLOGY,IT0005500688
,FAGRON,BE0003874915
,FARMACOSMO,IT0005487670
,FARMINVESTE,PTFNV1AM0002
,FBD HOLDINGS PLC,IE0003290289
,FD,FR0012300424
,FERM.CASINO MUNICIPAL CANNES,FR0000062101
,FERMENTALG,FR0011271600
,FERRETTI,IT0005383291
,FIDIA,IT0005654683
,FIDUCIAL OFF.SOL.,FR0000061418
,FIDUCIAL REAL EST.,FR0000060535
,FIERA MILANO,IT0003365613
,FIGEAC AERO,FR0011665280
,FILA,IT0004967292
,FILL UP MEDIA S.A.,FR001400AEM6
,FINANCIERE MARJOS,FR0000060824
,FINANZA.TECH,IT0005475162
,FINAXO ENVIRONNEMENT,FR0010487272
,FINCANTIERI,IT0005599938
,FINE FOODS & PHARMACEUTICALS NTM,IT0005215329
,FIRST CAPITAL,IT0005252736
,FJORD DEFENCE GROUP ASA,NO0013647693
,FLEKKEFJORD SPAREB,NO0013209858
,FLEURY MICHON,FR0000074759
,FLEXDEAL,PTFXD0AM0018
,FLORENTAISE S.A.,FR001400GO75
,FLORIDIENNE,BE0974502347
,FLOWSPARKS,BE0003847648
,FLUXYS BELGIUM,BE0974265945
,FNAC DARTY,FR0011476928
,FNM,IT0000060886
,FNP TECHNOLOGIES SA,FR0013230067
,FONCIERE 7 INVEST,FR0000065930
,FONCIERE VINDI,FR0011605617
,FONCIERE VOLTA,FR0000053944
,FOPE,IT0005203424
,FORFARMERS,NL0011832811
,FORSEE POWER,FR0014005SB3
,FORVIA,FR0000121147
,FOUNTAIN,BE0003752665
,FOUNTAINE PAJOT,FR0010485268
,FRANCAISE ENERGIE,FR0013030152
,FRANCE TOURISME IMMOBILIER,FR0010823724
,FRANCHETTI,IT0005508574
,FRANCHI UMBERTO MARMI,IT0005335754
,FREELANCE.COM,FR0004187367
,FRENDY ENERGY,IT0004819857
,FSDV,FR0000031973
,FUGRO,NL00150003E1
,FUT.CLUBE PORTO,PTFCP0AM0008
,G.A.I.,FR0000053415
,G.M. LEATHER,IT0005498610
,GABETTI,IT0005023038
,gAIn360,IT0005672461
,GALAPAGOS,BE0003818359
,GALEO,FR0011100759
,GAMBERO ROSSO,IT0005122392
,GAROFALO HEALTH CARE,IT0005345233
,GAS PLUS,IT0004098510
,GASCOGNE,FR0000124414
,GAUMONT,FR0000034894
,GEA GRENOBL.ELECT.,FR0000053035
,GECI INTL,FR001400M1R1
,GEFRAN,IT0003203947
,GEL,IT0005312365
,GENERALFINANCE,IT0005144784
,GENFIT,FR0004163111
,GENOWAY,FR0004053510
,GENSIGHT BIOLOGICS,FR0013183985
,GENTIAN DIAGNOSTICS ASA,NO0010748866
,GENTILI MOSCONI,IT0005531261
,GENTLEMEN'S EQUITY SA,PTGVE1AE0009
,GEOX,IT0003697080
,GEVELOT,FR0000033888
,GIGANTE SALMON AS,NO0011013765
,GIGLIO.COM,IT0005453003
,GIMV,BE0003699130
,GIOCAMONDO STUDY,IT0005652489
,GISMONDI 1754,IT0005391138
,GL EVENTS,FR0000066672
,GLASS TO POWER S.P.A.,IT0005613739
,GLENVEAGH PROPERTIES PLC,IE00BD6JX574
,GLINT,PTPAD0AM0007
,GOLD BY GOLD,FR0011208693
,GOLDEN ENERGY OFFSHORE SERVICES ASA,NO0013228585
,GOODTECH,NO0004913609
,GPE GROUP PIZZORNO,FR0010214064
,GPI,IT0005221517
,GRAINES VOLTZ,FR0000065971
,GREAT WESTERN MINING CORPORATION PLC,IE000T78CHJ8
,GREEN EARTH GROUP N.V.,NL0009169515
,GREEN MINERALS AS,NO0010907744
,GREEN OLEO,IT0005549768
,GREENCOAT RENEWABLES PLC,IE00BF2NR112
,GRIEG SEAFOOD,NO0010365521
,GRIFAL,IT0005332595
,GROLLEAU,FR0014005ZM5
,GRONG SPAREBANK,NO0010636491
,GROUPE AIRWELL,FR0014003V77
,GROUPE CARNIVOR,FR0000076960
,GROUPE CRIT,FR0000036675
,GROUPE GUILLIN,FR0012819381
,GROUPE JAJ,FR0004010338
,GROUPE LDLC,FR0000075442
,GROUPE OKWIND,FR0013439627
,GROUPE PARTOUCHE,FR0012612646
,GROUPE PLUS-VALUES,FR0010529719
,GROUPE SFPI,FR0004155000
,GROUPE TERA,FR0013429404
,GROUPIMO,FR0014000RP6
,GROWENS,IT0005040354
,GT TALENT GROUP,IT0005607699
,GUERBET,FR0000032526
,GUILLEMOT,FR0000066722
,GVS,IT0005411209
,GYLDENDAL,NO0004288200
,HAFFNER ENERGY,FR0014007ND6
,HAIKI+,IT0005628778
,HAUGESUND SPB,NO0010764053
,HAULOTTE GROUP,FR0000066755
,HAV GROUP ASA,NO0010931918
,HAVAS,NL0015002K83
,HAVILA KYSTRUTEN AS,NO0013696799
,HAVILA SHIPPING,NO0010257728
,HAWICK DATA NV,NL0010556726
,HEALTH ITALIA,IT0005585861
,HELYX INDUSTRIES (ex Ulisse Biomed S.p.A.),IT0005451213
,HERIGE,FR0000066540
,HERMANA HOLDING ASA,NO0013401380
,HEXAGON COMPOSITES,NO0003067902
,HEXAGON PURUS ASA,NO0010904923
,HEXAOM,FR0004159473
,HF COMPANY,FR0000038531
,H-FARM,IT0004674666
,HIGH CO,FR0000054231
,HIGH QUALITY FOOD,IT0005450694
,HIPAY GROUP,FR0012821916
,HITECHPROS,FR0010396309
,HK,DE000A11Q133
,HOCHE BAINS L.BAIN,FR0000051302
,HOEGH AUTOLINERS ASA,NO0011082075
,HOFFMANN,FR0013451044
,HOFSETH BIOCARE,NO0010598683
,HØLAND OG SETSKOG,NO0010012636
,Holland Colours,NL0000440311
,HOME CONCEPT,FR0012336691
,HOPENING,FR0010312181
,HOPIUM,FR0014010QE1
,HOPSCOTCH GROUPE,FR0000065278
,HOT.MAJESTIC CANNE,FR0006226791
,HOTELES BESTPRICE,ES0105664009
,HOTELIM,FR0000053738
,HOTELS DE PARIS,FR0004165801
,HOTL.IMMOB.NICE,FR0006563904
,HUDDLESTOCK FINTECH,NO0010859648
,HUDDLY AS,NO0013470534
,HUNTER GROUP,NO0012953720
,HUNYVERS,FR0014007LQ2
,HYDRATEC Gewone aandelen,NL0009391242
,HYDRAULIQUE HOLDING,FR0000064735
,HYDRO-EXPLOIT.,FR0005843125
,HYDROGENE DE FRANCE,FR0014003VY4
,HYDROGENPRO ASA,NO0010892359
,HYDROGEN-REFUELING-SOLUTIONS,FR0014001PM5
,HYLORIS,BE0974363955
,HYNION AS,NO0010920945
,I GRANDI VIAGGI,IT0005108219
,I.CO.P.,IT0001214433
,I.M.D. INTERNATIONAL MEDICAL DEVICES,IT0005549255
,I2S,FR0005854700
,Ibersol-SGPS,PTIBS0AM0008
,ICAPE HOLDING,FR001400A3Q3
,ICELANDIC SALMON,NO0010724701
,ID LOGISTICS GROUP,FR0010929125
,IDEX BIOMETRICS,NO0013536078
,IDI,FR0000051393
,IDS,FR0000079691
,IEP INVEST,BE0003748622
,IKONISYS,FR00140048X2
,ILLA,IT0005578395
,ILPRA,IT0005359101
,IMALLIANCE,FR0010086371
,IMEON ENERGY,FR001400QW73
,IMM.PARIS.PERLE,FR0006859039
,IMMERSION,FR0013060100
,IMMOBEL,BE0003599108
,IMMSI,IT0001413837
,IMPIANTI,IT0005518953
,IMPLANET,FR0013470168
,"Impresa, SGPS - Nom.",PTIPR0AM0000
,IMPRIMERIE CHIRAT,FR0000065773
,IMPULSE FITNESS SOLUTIONS S.A.,ES0105590006
,INCLUSIO SA/NV,BE0974374069
,INDEL B,IT0005245508
,INDUCT,NO0010536048
,INDUSTRIE CHIMICHE FORESTALI,IT0005416281
,INDUSTRIE DE NORA,IT0005186371
,INFOCLIP,FR0011158823
,INFOTEL,FR0000071797
,INIFY LABORATORIES AB,SE0017486103
,ININ GROUP AS,NO0010864036
,INIZIATIVE BRESCIANE,IT0005037905
,INMOLECULE NANOTECH,ES0105908000
,INNATE PHARMA,FR0010331421
,INNELEC MULTIMEDIA,FR0000064297
,INNOVATEC,IT0005412298
,INNOVATIVE RFK SPA,IT0005391161
,INSTABANK,NO0010762792
,INSTALLUX,FR0000060451
,INTEGRAGEN,FR0010908723
,INTEGRATED WIND SOLUTIONS ASA,NO0013461350
,INTEGRITAS VIAGER S.A.,FR0014003FN0
,INTERCOS,IT0005455875
,INTERNATIONAL CARE COMPANY,IT0005469371
,INTEROIL EXPLORATION AND PRODUCTION,NO0013119255
,INTEXA,FR0000064958
,INTRASENSE,FR0011179886
,INTRED,IT0005337818
,INVENTIVA,FR0013233012
,INVIBES ADVERTISING N.V.,BE0974299316
,ION BEAM APPLICATIONS,BE0003766806
,IPSOS,FR0000073298
,IRCE,IT0001077780
,IRISH CONTINENTAL GROUP PLC,IE00BLP58571
,ISCC FINTECH,IT0005474108
,ISPD NETWORK,ES0109429037
,IT LINK,FR0000072597
,IT WAY,IT0003057624
,ITALIAN EXHIBITION GROUP,IT0003411417
,ITALIAN WINE BRANDS,IT0005075764
,ITALMOBILIARE,IT0005253205
,ITALY INNOVAZIONI,IT0005336521
,ITERA,NO0010001118
,IVECO GROUP,NL0015000LU4
,IVISION TECH,IT0005554784
,JACQUES BOGART,FR0012872141
,JACQUET METALS,FR0000033904
,JÆREN SPAREBANK,NO0010359433
,JENSEN-GROUP,BE0003858751
,JUVENTUS FC,IT0005572778
,KALDVIK AS,NO0010884794
,KALEON,IT0005678104
,KALRAY,FR0010722819
,KAUFMAN ET BROAD,FR0004007813
,KENDRION N.V.,NL0000852531
,KENMARE RESOURCES PLC,IE00BDC5DG00
,KERLINK,FR0013156007
,KEYRUS,FR0004029411
,Keyware Technologies,BE0003880979
,KID,NO0010743545
,KINEPOLIS GROUP,BE0974274061
,KITRON,NO0003079709
,KKO INTERNATIONAL,FR0013374667
,KLARSEN,FR0011038348
,KLAVENESS COMBINATION CARRIERS,NO0010833262
,KLEA HOLDING,FR0013481835
,KMC PROPERTIES ASA,NO0013637181
,KME GROUP,IT0004552359
,KOMPLETT ASA,NO0011016040
,KONGSBERG AUTOMOTIVE,NO0003033102
,Koninklijke BAM Groep N.V.,NL0000337319
,KONINKLIJKE PORCELEYNE FLES,NL0000378669
,KRAFT BANK ASA,NO0010815103
,KRUSO KAPITAL,IT0005573800
,KUMULUS VAPE,FR0013419876
,L.D.C.,FR001400SF56
,LABORATOIRES EUROMEDIS,FR0000075343
,LABORATORIO FARMACEUTICO ERFO,IT0005497885
,LACROIX GROUP,FR0000066607
,L'AGENCE AUTOMOBILIERE S.A.,FR0014005WE9
,LANDI RENZO,IT0005619843
,LANSON-BCC,FR0004027068
,LARGO,FR0013308582
,LATECOERE,FR001400JY13
,LAURENT-PERRIER,FR0006864484
,LAVIDE HOLDING,NL0010545679
,LEBON,FR0000121295
,LECTRA,FR0000065484
,LEMON SISTEMI,IT0005573438
,LEONE FILM GROUP,IT0004973696
,LEPERMISLIBRE S.A.,FR001400F2Z1
,LES HOTELS BAVEREZ,FR0007080254
,LEXIBOOK LINGUIST.,FR0000033599
,LHYFE S.A.,FR0014009YQ1
